Date,Time,Vehicles,Driver Age,Condition_Code,MorF
2014-01-01,2,1,26,0,0
2014-01-01,8,2,17,6,1
2014-01-01,10,2,29,6,0
2014-01-01,12,1,18,0,0
2014-01-01,15,2,42,3,1
2014-01-01,16,1,44,3,0
2014-01-01,16,6,31,3,0
2014-01-01,18,3,20,3,0
2014-01-02,9,2,42,0,1
2014-01-03,17,2,27,0,1
2014-01-04,6,1,18,6,1
2014-01-04,9,1,18,3,0
2014-01-04,11,2,55,3,0
2014-01-04,13,3,37,6,0
2014-01-04,13,2,28,3,0
2014-01-04,14,3,38,6,1
2014-01-04,18,2,18,3,0
2014-01-04,21,1,25,3,1
2014-01-04,22,1,30,6,0
2014-01-05,0,1,21,3,0
2014-01-05,21,1,36,0,0
2014-01-06,0,1,18,6,1
2014-01-09,13,2,18,0,1
2014-01-10,6,2,31,3,0
2014-01-10,6,1,61,3,1
2014-01-10,7,3,35,3,0
2014-01-10,7,2,24,3,1
2014-01-10,19,1,27,3,1
2014-01-10,21,1,31,3,1
2014-01-11,12,2,17,0,0
2014-01-11,13,2,50,0,1
2014-01-12,12,2,48,3,0
2014-01-12,13,1,49,3,0
2014-01-17,20,2,37,0,0
2014-01-17,23,2,31,0,0
2014-01-18,12,1,38,0,1
2014-01-19,3,1,18,0,1
2014-01-19,16,1,49,0,0
2014-01-20,8,2,70,0,0
2014-01-23,5,1,28,3,0
2014-01-23,7,1,25,6,0
2014-01-23,9,2,36,3,0
2014-01-23,16,2,32,0,0
2014-01-24,14,3,54,0,0
2014-01-25,10,2,51,0,1
2014-01-27,14,1,43,5,0
2014-01-27,14,1,29,6,1
2014-01-27,14,1,25,3,1
2014-01-27,17,2,23,6,1
2014-01-27,18,2,60,6,0
2014-01-28,10,1,33,6,0
2014-01-28,14,1,84,0,0
2014-01-31,6,1,51,3,1
2014-01-31,7,1,20,3,0
2014-01-31,8,1,18,3,0
2014-01-31,9,2,38,3,0
2014-01-31,18,1,19,0,0
2014-01-31,19,3,50,0,1
2014-02-01,1,1,71,0,0
2014-02-01,13,1,35,3,0
2014-02-01,16,3,25,3,1
2014-02-01,17,3,24,3,1
2014-02-04,9,1,24,0,0
